City,Country,Continent,Population (2024),Population (2023),Growth Rate,Population Change
Tokyo,Japan,Asia,1.0,1.0,0.10233393177737882,-79070
Delhi,India,Asia,0.9090435283663834,0.8833778893396409,0.6122082585278277,866094
Shanghai,China,Asia,0.8007117503289358,0.7810783902711269,0.5439856373429084,657110
Dhaka,Bangladesh,Asia,0.6375805482629052,0.616510967446693,0.7019748653500898,726036
Sao Paulo,Brazil,South America,0.6065356415931704,0.6003350091744568,0.28904847396768407,186968
Cairo,Egypt,Africa,0.601508004991283,0.5883641473985523,0.49730700179533216,440673
Mexico City,Mexico,North America,0.5982477546610134,0.5910581568862833,0.31956912028725315,223873
Beijing,China,Asia,0.5895516730249326,0.5769293397901151,0.48833034111310597,422868
Mumbai,India,Asia,0.5753640471707424,0.5640490945324449,0.45780969479353684,376632
Osaka,Japan,Asia,0.5009603602629,0.5014413517033075,0.0969479353680431,-45975
Chongqing,China,Asia,0.46813935014820157,0.45557098708555893,0.5888689407540395,433219
Karachi,Pakistan,Asia,0.4646918593343011,0.4527060534303518,0.5691202872531419,412325
Kinshasa,DR Congo,Africa,0.4477460868347611,0.4274583079949841,0.9281867145421904,716788
Lagos,Nigeria,Africa,0.43409823825376703,0.4173223650091218,0.8043087971274686,590106
Istanbul,Turkey,Asia,0.42066037180421756,0.4146310154996108,0.3662477558348295,199582
Buenos Aires,Argentina,South America,0.40886160893335927,0.40483151862489325,0.28904847396768407,127873
Kolkata,India,Asia,0.40755535288203915,0.40050913628477935,0.4183123877917415,237993
Manila,Philippines,Asia,0.3902630933662338,0.3822538977181884,0.47576301615798927,274864
Guangzhou,China,Asia,0.38058738843908674,0.37175833664596597,0.5242369838420108,305743
Tianjin,China,Asia,0.3773088787930394,0.3705048561878662,0.4326750448833034,232230
Lahore,Pakistan,Asia,0.37555447203504666,0.3633955022346011,0.6894075403949731,427684
Bangalore,India,Asia,0.3645875529929205,0.3532055918555745,0.6678635547576302,400462
Rio De Janeiro,Brazil,South America,0.3595300800090769,0.356494092764245,0.2657091561938959,96627
Shenzhen,China,Asia,0.3454370781090906,0.33852999841169135,0.4685816876122083,239222
Moscow,Russia,Asia,0.3289500709184675,0.3277737046289983,0.18491921005385997,31916
Chennai,India,Asia,0.3108390295844639,0.3029771682826171,0.5637342908438061,277550
Bogota,Colombia,South America,0.29996357211504393,0.2956228221085543,0.3752244165170557,150251
Jakarta,Indonesia,Asia,0.2938531085893884,0.28851708791946484,0.4380610412926392,187165
Lima,Peru,South America,0.2918163699110785,0.28729796779857786,0.3931777378815081,157556
Paris,France,Europe,0.28947244024398294,0.2874092481245234,0.2495511669658887,68261
Bangkok,Thailand,Asia,0.28829460438043736,0.2836123897288204,0.4057450628366248,163887
Hyderabad,India,Asia,0.2837574943972912,0.2762407125626439,0.585278276481149,267714
Seoul,South Korea,Asia,0.25449757333968304,0.25394312977534644,0.17055655296229805,16791
Nanjing,China,Asia,0.2529221023765187,0.2460019978904453,0.6014362657091563,249084
Chengdu,China,Asia,0.24963768045201928,0.24477643349242745,0.4649910233393178,174338
London,United Kingdom,Asia,0.24743564546777524,0.24462116754725655,0.3267504488330341,99923
Luanda,Angola,Africa,0.2447682179229539,0.2348649707303675,0.8330341113105926,358696
Tehran,Iran,Asia,0.24380506651464506,0.2405536220895999,0.3590664272890485,116226
Ho Chi Minh City,Vietnam,Asia,0.24247546383818136,0.23564733339651467,0.6157989228007181,246790
Nagoya,Japan,Asia,0.24217910744339632,0.24246077162842,0.11669658886894077,-12449
Xi An Shaanxi,China,Asia,0.22724601202381445,0.22095734316329654,0.606822262118492,228663
Ahmedabad,India,Asia,0.22286286877115,0.217267130698496,0.5637342908438061,203839
Wuhan,China,Asia,0.22276403747460574,0.21912212272623963,0.4129263913824058,132600
Kuala Lumpur,Malaysia,Asia,0.22179552376723563,0.2164751427503363,0.5439856373429084,193906
Hangzhou,China,Asia,0.21091176160901312,0.20593071486174255,0.5385996409335727,182636
Suzhou,China,Asia,0.2090083654340263,0.20145605562414826,0.755834829443447,276594
Surat,India,Asia,0.20845571864308315,0.20120700487988086,0.7307001795332136,265579
Baghdad,Iraq,Asia,0.19719780550523322,0.19150921789400804,0.6283662477558348,209829
Shenyang,China,Asia,0.19470208152625001,0.19067727542763674,0.4901256732495512,149410
Riyadh,Saudi Arabia,Asia,0.1944318766515022,0.19071739448058359,0.4631956912028725,138121
Hong Kong,Hong Kong,Asia,0.19182794422735994,0.19078241312346597,0.23518850987432677,41058
Foshan,China,Asia,0.19125255578860323,0.18838527914305045,0.39497307001795334,107549
Dongguan,China,Asia,0.19043338898483128,0.18810181321665845,0.348294434470377,88097
Pune,India,Asia,0.18137803331164673,0.17656587159094997,0.5888689407540395,179474
Santiago,Chile,South America,0.17051880023425822,0.16935425929972261,0.2639138240574507,47560
Haerbin,China,Asia,0.17016285357246952,0.16662350372111756,0.49371633752244165,134197
Madrid,Spain,Europe,0.16590692055291958,0.16518555240233876,0.2244165170556553,31867
Khartoum,Sudan,Africa,0.15927496656881526,0.15402389987688414,0.7001795332136446,197722
Toronto,Canada,North America,0.15623248057837152,0.15478103388362524,0.30700179533213645,59472
Johannesburg,South Africa,Africa,0.15328791841847708,0.1500111170636122,0.5062836624775584,126335
Belo Horizonte,Brazil,South America,0.15262953808963395,0.1513787572055245,0.2908438061041293,52520
Dalian,China,Asia,0.15034926853703476,0.1467198464868982,0.5529622980251347,139492
Singapore,Singapore,Asia,0.14764655981428737,0.14679838440052756,0.2531418312387792,38344
Qingdao,China,Asia,0.1472449098651151,0.14421151444790478,0.49371633752244165,118072
Zhengzhou,China,Asia,0.14477797730724537,0.14072192467029432,0.6175942549371634,155615
Ji Nan Shandong,China,Asia,0.14273785625568147,0.13926192569699106,0.5565529622980252,134667
Abidjan,Ivory Coast,Africa,0.14070309750317883,0.13597997875527498,0.7091561938958707,180354
Barcelona,Spain,Europe,0.136446614504238,0.1360075657458864,0.21723518850987433,24561
Yangon,Myanmar,Asia,0.13638504431142706,0.13389288306099542,0.45780969479353684,99437
Addis Ababa,Ethiopia,Africa,0.13621867554568062,0.12978911253912634,0.9389587073608617,243037
Alexandria,Egypt,Africa,0.1360125157710028,0.13329606073130643,0.48653500897666074,107654
Saint Petersburg,Russia,Asia,0.1328659736798013,0.13255063611322446,0.2064631956912029,20413
Nairobi,Kenya,Africa,0.13175130294930024,0.12607526191736054,0.8689407540394973,216012
Chittagong,Bangladesh,Asia,0.13099334885173516,0.1275697857626119,0.5870736086175943,133949
Guadalajara,Mexico,North America,0.13061026070700565,0.12867271693795154,0.40394973070017953,79798
Fukuoka,Japan,Asia,0.13001622796689752,0.13060301102953112,0.10053859964093358,-12195
Ankara,Turkey,Asia,0.12998903148601765,0.1280479785481806,0.4057450628366248,79989
Hanoi,Vietnam,Asia,0.12874371315120894,0.12410701514684834,0.7504488330341114,178416
Melbourne,Australia,Oceana,0.12554830539112624,0.12361401423510655,0.414721723518851,80193
Monterrey,Mexico,North America,0.1222416917982041,0.12035732337525241,0.4165170556552963,78708
Sydney,Australia,Oceana,0.12195408007573436,0.1204737865453585,0.36445242369838426,64002
Changsha,China,Asia,0.1176389142757848,0.11500555688645876,0.5278276481149013,106488
Urumqi,China,Asia,0.1170336344571328,0.11345758667470475,0.6606822262118492,140926
Cape Town,South Africa,Africa,0.11626006094486624,0.11414978430593108,0.4614003590664273,87553
Jiddah,Saudi Arabia,Asia,0.11530796412231442,0.11340008178473242,0.43626570915619395,80269
Brasilia,Brazil,South America,0.11508973230000641,0.11367724054627289,0.36983842010771995,62226
Kunming,China,Asia,0.11304944625462524,0.11061239718772843,0.5170556552962299,99795
Changchun,China,Asia,0.11143712667227079,0.10921653933871954,0.4901256732495512,92065
Kabul,Afghanistan,Asia,0.10940047049086954,0.10587878769929544,0.6858168761220826,139718
Hefei,China,Asia,0.10937038661818746,0.1066217168738927,0.5745062836624776,111532
Yaounde,Cameroon,Africa,0.10811857852656617,0.10370202057430082,0.8276481149012568,172481
Ningbo,China,Asia,0.10751530613269095,0.10448668672674159,0.6229802513464991,121929
Shantou,China,Asia,0.10742442203834518,0.10546873971657904,0.4649910233393178,82812
New Taipei,Taiwan,Asia,0.1040792273911516,0.10356106915109729,0.2621184919210054,30730
Tel Aviv,Israel,Asia,0.10300264273347018,0.10127699795625922,0.44344703770197486,74872
Kano,Nigeria,Africa,0.10286534037853268,0.09929232513467717,0.7271095152603232,142253
Shijiazhuang,China,Asia,0.10185882309525157,0.09989539978430594,0.4829443447037702,83659
